,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,Synthetic,ECFPFingerprint,Weighted MS Entropy,Pearson,0.060373211183212795,0.0
1,Synthetic,ECFPFingerprint,Weighted MS Entropy,Spearman,0.04153070726411426,0.0
2,Synthetic,ECFPFingerprint,Weighted MS Entropy,Kendall,0.03154596252204119,0.0
3,Synthetic,AvalonFingerprint,Weighted MS Entropy,Pearson,0.10055672893705841,0.0
4,Synthetic,AvalonFingerprint,Weighted MS Entropy,Spearman,0.09104402174322082,0.0
5,Synthetic,AvalonFingerprint,Weighted MS Entropy,Kendall,0.06878646737845802,0.0
6,Synthetic,LayeredFingerprint,Weighted MS Entropy,Pearson,0.13156135014202427,0.0
7,Synthetic,LayeredFingerprint,Weighted MS Entropy,Spearman,0.12482842301281324,0.0
8,Synthetic,LayeredFingerprint,Weighted MS Entropy,Kendall,0.09431276167764993,0.0
9,Synthetic,RDKitFingerprint,Weighted MS Entropy,Pearson,0.1261745849392231,0.0
10,Synthetic,RDKitFingerprint,Weighted MS Entropy,Spearman,0.11960491822503405,0.0
11,Synthetic,RDKitFingerprint,Weighted MS Entropy,Kendall,0.09027747775435778,0.0
