,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,GNPS (LOTUS),ECFPFingerprint,Unweighted MS Entropy,Pearson,0.03522067227187052,0.0
1,GNPS (LOTUS),ECFPFingerprint,Unweighted MS Entropy,Spearman,0.02295277668120601,0.0
2,GNPS (LOTUS),ECFPFingerprint,Unweighted MS Entropy,Kendall,0.018866078360014128,0.0
3,GNPS (LOTUS),AvalonFingerprint,Unweighted MS Entropy,Pearson,0.02710469110355986,0.0
4,GNPS (LOTUS),AvalonFingerprint,Unweighted MS Entropy,Spearman,0.021202706741767868,0.0
5,GNPS (LOTUS),AvalonFingerprint,Unweighted MS Entropy,Kendall,0.01733133040038304,0.0
6,GNPS (LOTUS),LayeredFingerprint,Unweighted MS Entropy,Pearson,0.029345654816444283,0.0
7,GNPS (LOTUS),LayeredFingerprint,Unweighted MS Entropy,Spearman,0.020689191036848572,0.0
8,GNPS (LOTUS),LayeredFingerprint,Unweighted MS Entropy,Kendall,0.016907039747800178,0.0
9,GNPS (LOTUS),RDKitFingerprint,Unweighted MS Entropy,Pearson,0.03015863536772153,0.0
10,GNPS (LOTUS),RDKitFingerprint,Unweighted MS Entropy,Spearman,0.018202830668133295,0.0
11,GNPS (LOTUS),RDKitFingerprint,Unweighted MS Entropy,Kendall,0.01486900975133848,0.0
