,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,Synthetic,ECFPFingerprint,MS2DeepScore,Pearson,-0.02820623139436522,0.0
1,Synthetic,ECFPFingerprint,MS2DeepScore,Spearman,-0.09034101052739367,0.0
2,Synthetic,ECFPFingerprint,MS2DeepScore,Kendall,-0.06369654731305541,0.0
3,Synthetic,AvalonFingerprint,MS2DeepScore,Pearson,0.14581002553777284,0.0
4,Synthetic,AvalonFingerprint,MS2DeepScore,Spearman,0.10869787834036422,0.0
5,Synthetic,AvalonFingerprint,MS2DeepScore,Kendall,0.07283727080084254,0.0
6,Synthetic,LayeredFingerprint,MS2DeepScore,Pearson,0.35054021213480635,0.0
7,Synthetic,LayeredFingerprint,MS2DeepScore,Spearman,0.3200833111631739,0.0
8,Synthetic,LayeredFingerprint,MS2DeepScore,Kendall,0.2173605884318849,0.0
9,Synthetic,RDKitFingerprint,MS2DeepScore,Pearson,0.3401070964102306,0.0
10,Synthetic,RDKitFingerprint,MS2DeepScore,Spearman,0.2851097465552945,0.0
11,Synthetic,RDKitFingerprint,MS2DeepScore,Kendall,0.1946620289911749,0.0
