,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,Synthetic,ECFPFingerprint,Modified Cosine,Pearson,0.15141397120512684,0.0
1,Synthetic,ECFPFingerprint,Modified Cosine,Spearman,0.11454611860000634,0.0
2,Synthetic,ECFPFingerprint,Modified Cosine,Kendall,0.07682376299140882,0.0
3,Synthetic,AvalonFingerprint,Modified Cosine,Pearson,0.006670002338331691,0.0
4,Synthetic,AvalonFingerprint,Modified Cosine,Spearman,-0.009662762866876505,0.0
5,Synthetic,AvalonFingerprint,Modified Cosine,Kendall,-0.006771453159845778,0.0
6,Synthetic,LayeredFingerprint,Modified Cosine,Pearson,0.08988850335346689,0.0
7,Synthetic,LayeredFingerprint,Modified Cosine,Spearman,0.06614621759498834,0.0
8,Synthetic,LayeredFingerprint,Modified Cosine,Kendall,0.044740973607591335,0.0
9,Synthetic,RDKitFingerprint,Modified Cosine,Pearson,0.12520293562659,0.0
10,Synthetic,RDKitFingerprint,Modified Cosine,Spearman,0.08980042078433109,0.0
11,Synthetic,RDKitFingerprint,Modified Cosine,Kendall,0.06091487045101925,0.0
