,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,"GNPS (LOTUS, Orbitrap)",ECFPFingerprint,Neutral Losses Cosine,Pearson,0.09076177944618621,0.0
1,"GNPS (LOTUS, Orbitrap)",ECFPFingerprint,Neutral Losses Cosine,Spearman,0.21247830446587632,0.0
2,"GNPS (LOTUS, Orbitrap)",ECFPFingerprint,Neutral Losses Cosine,Kendall,0.16516833670284223,0.0
3,"GNPS (LOTUS, Orbitrap)",AvalonFingerprint,Neutral Losses Cosine,Pearson,0.028625613660431034,0.0
4,"GNPS (LOTUS, Orbitrap)",AvalonFingerprint,Neutral Losses Cosine,Spearman,0.0828740637881043,0.0
5,"GNPS (LOTUS, Orbitrap)",AvalonFingerprint,Neutral Losses Cosine,Kendall,0.06400745726048966,0.0
6,"GNPS (LOTUS, Orbitrap)",LayeredFingerprint,Neutral Losses Cosine,Pearson,0.02413166381016363,0.0
7,"GNPS (LOTUS, Orbitrap)",LayeredFingerprint,Neutral Losses Cosine,Spearman,0.053304253571661374,0.0
8,"GNPS (LOTUS, Orbitrap)",LayeredFingerprint,Neutral Losses Cosine,Kendall,0.041128179506784095,0.0
9,"GNPS (LOTUS, Orbitrap)",RDKitFingerprint,Neutral Losses Cosine,Pearson,0.04011567998625709,0.0
10,"GNPS (LOTUS, Orbitrap)",RDKitFingerprint,Neutral Losses Cosine,Spearman,0.0836263528538286,0.0
11,"GNPS (LOTUS, Orbitrap)",RDKitFingerprint,Neutral Losses Cosine,Kendall,0.06448100094581855,0.0
