,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,Synthetic,ECFPFingerprint,Modified Cosine,Pearson,0.1496818887621282,0.0
1,Synthetic,ECFPFingerprint,Modified Cosine,Spearman,0.11374470013126846,0.0
2,Synthetic,ECFPFingerprint,Modified Cosine,Kendall,0.07651246266883967,0.0
3,Synthetic,AvalonFingerprint,Modified Cosine,Pearson,-0.004386661256984751,0.0
4,Synthetic,AvalonFingerprint,Modified Cosine,Spearman,-0.01676400762261345,0.0
5,Synthetic,AvalonFingerprint,Modified Cosine,Kendall,-0.01142800640412922,0.0
6,Synthetic,LayeredFingerprint,Modified Cosine,Pearson,0.08162702131431376,0.0
7,Synthetic,LayeredFingerprint,Modified Cosine,Spearman,0.06024627150233536,0.0
8,Synthetic,LayeredFingerprint,Modified Cosine,Kendall,0.04079268839840118,0.0
9,Synthetic,RDKitFingerprint,Modified Cosine,Pearson,0.11983072738253349,0.0
10,Synthetic,RDKitFingerprint,Modified Cosine,Spearman,0.08912508234075497,0.0
11,Synthetic,RDKitFingerprint,Modified Cosine,Kendall,0.060451692779475784,0.0
