,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,GNPS (Positives),ECFPFingerprint,Weighted MS Entropy,Pearson,0.037223380392486835,0.0
1,GNPS (Positives),ECFPFingerprint,Weighted MS Entropy,Spearman,0.02081720107328326,0.0
2,GNPS (Positives),ECFPFingerprint,Weighted MS Entropy,Kendall,0.017112599776837333,0.0
3,GNPS (Positives),AvalonFingerprint,Weighted MS Entropy,Pearson,0.026569374190521952,0.0
4,GNPS (Positives),AvalonFingerprint,Weighted MS Entropy,Spearman,0.016647371076385423,0.0
5,GNPS (Positives),AvalonFingerprint,Weighted MS Entropy,Kendall,0.013607341620726994,0.0
6,GNPS (Positives),LayeredFingerprint,Weighted MS Entropy,Pearson,0.03030077933536026,0.0
7,GNPS (Positives),LayeredFingerprint,Weighted MS Entropy,Spearman,0.016869031858555407,0.0
8,GNPS (Positives),LayeredFingerprint,Weighted MS Entropy,Kendall,0.013785335578251944,0.0
9,GNPS (Positives),RDKitFingerprint,Weighted MS Entropy,Pearson,0.034805333454598644,0.0
10,GNPS (Positives),RDKitFingerprint,Weighted MS Entropy,Spearman,0.016535507393353455,0.0
11,GNPS (Positives),RDKitFingerprint,Weighted MS Entropy,Kendall,0.013509684042446372,0.0
