,dataset,fingerprint,spectral_similarity,correlation_method,correlation,p_value
0,"GNPS (Positives, Orbitrap)",ECFPFingerprint,Neutral Losses Cosine,Pearson,0.07269239592813403,0.0
1,"GNPS (Positives, Orbitrap)",ECFPFingerprint,Neutral Losses Cosine,Spearman,0.1529042070841873,0.0
2,"GNPS (Positives, Orbitrap)",ECFPFingerprint,Neutral Losses Cosine,Kendall,0.11880591917623469,0.0
3,"GNPS (Positives, Orbitrap)",AvalonFingerprint,Neutral Losses Cosine,Pearson,0.016807054801882333,0.0
4,"GNPS (Positives, Orbitrap)",AvalonFingerprint,Neutral Losses Cosine,Spearman,0.0047616806694249945,0.0
5,"GNPS (Positives, Orbitrap)",AvalonFingerprint,Neutral Losses Cosine,Kendall,0.0036114605292098924,0.0
6,"GNPS (Positives, Orbitrap)",LayeredFingerprint,Neutral Losses Cosine,Pearson,0.025405354250329602,0.0
7,"GNPS (Positives, Orbitrap)",LayeredFingerprint,Neutral Losses Cosine,Spearman,-0.027301647163428255,0.0
8,"GNPS (Positives, Orbitrap)",LayeredFingerprint,Neutral Losses Cosine,Kendall,-0.02094397707628382,0.0
9,"GNPS (Positives, Orbitrap)",RDKitFingerprint,Neutral Losses Cosine,Pearson,0.022351839235046578,0.0
10,"GNPS (Positives, Orbitrap)",RDKitFingerprint,Neutral Losses Cosine,Spearman,0.028739525467759094,0.0
11,"GNPS (Positives, Orbitrap)",RDKitFingerprint,Neutral Losses Cosine,Kendall,0.02212209540136372,0.0
